model-1588398318,1588398318.321,0.52,0.2498,0.47,0.2543
model-1588398318,1588398318.35,0.6,0.2416,0.49,0.2824
model-1588398318,1588398318.377,0.41,0.3162,0.56,0.2455
model-1588398318,1588398318.404,0.52,0.2523,0.58,0.246
model-1588398318,1588398318.433,0.55,0.2473,0.46,0.2512
model-1588398318,1588398318.46,0.4,0.2526,0.46,0.2501
model-1588398318,1588398318.491,0.45,0.2502,0.44,0.2505
model-1588398318,1588398318.521,0.48,0.2502,0.46,0.2507
model-1588398318,1588398318.55,0.53,0.2496,0.55,0.2491
model-1588398318,1588398318.577,0.45,0.2511,0.47,0.2507
model-1588398318,1588398318.604,0.51,0.2499,0.54,0.2493
model-1588398318,1588398318.632,0.54,0.2493,0.54,0.2492
model-1588398318,1588398318.662,0.55,0.249,0.51,0.2498
model-1588398318,1588398318.689,0.53,0.2493,0.47,0.2511
model-1588398318,1588398318.715,0.5,0.2502,0.49,0.2503
model-1588398318,1588398318.742,0.55,0.2485,0.52,0.2493
model-1588398318,1588398318.772,0.57,0.2477,0.62,0.2452
model-1588398318,1588398318.798,0.49,0.2509,0.44,0.2532
model-1588398318,1588398318.825,0.5,0.2503,0.48,0.2514
model-1588398318,1588398318.852,0.53,0.2491,0.59,0.2465
model-1588398318,1588398318.881,0.47,0.2513,0.56,0.2481
model-1588398318,1588398318.908,0.47,0.2509,0.57,0.2492
model-1588398318,1588398318.935,0.64,0.2484,0.53,0.2495
model-1588398318,1588398318.961,0.63,0.2489,0.57,0.248
model-1588398318,1588398318.991,0.58,0.2478,0.56,0.2455
model-1588398318,1588398319.018,0.39,0.2562,0.56,0.2465
model-1588398318,1588398319.046,0.48,0.2507,0.51,0.2487
model-1588398318,1588398319.073,0.5,0.249,0.49,0.25
model-1588398318,1588398319.103,0.5,0.2497,0.61,0.2467
model-1588398318,1588398319.13,0.5,0.2483,0.55,0.25
model-1588398318,1588398319.157,0.62,0.2483,0.57,0.2494
model-1588398318,1588398319.187,0.65,0.2482,0.52,0.2487
model-1588398318,1588398319.219,0.49,0.2498,0.54,0.2494
model-1588398318,1588398319.246,0.54,0.2485,0.53,0.2494
model-1588398318,1588398319.273,0.48,0.2507,0.52,0.2497
model-1588398318,1588398319.3,0.52,0.2491,0.59,0.2472
model-1588398318,1588398319.331,0.58,0.2477,0.57,0.2486
model-1588398318,1588398319.357,0.53,0.2485,0.59,0.2473
model-1588398318,1588398319.384,0.66,0.2446,0.5,0.2501
model-1588398318,1588398319.41,0.57,0.2468,0.59,0.2465
model-1588398318,1588398319.442,0.53,0.2471,0.64,0.2456
model-1588398318,1588398319.469,0.62,0.2469,0.58,0.2462
model-1588398318,1588398319.497,0.48,0.2483,0.67,0.2427
model-1588398318,1588398319.529,0.56,0.2468,0.53,0.2479
model-1588398318,1588398319.559,0.57,0.2481,0.61,0.2458
model-1588398318,1588398319.586,0.58,0.243,0.59,0.2468
model-1588398318,1588398319.613,0.5,0.249,0.52,0.2484
model-1588398318,1588398319.639,0.48,0.2483,0.61,0.2445
model-1588398318,1588398319.669,0.62,0.2412,0.61,0.2364
model-1588398318,1588398319.695,0.62,0.2429,0.53,0.247
model-1588398318,1588398319.722,0.51,0.249,0.52,0.252
model-1588398318,1588398319.749,0.49,0.2507,0.66,0.2371
model-1588398318,1588398319.778,0.55,0.2454,0.56,0.2478
model-1588398318,1588398319.804,0.55,0.2485,0.53,0.2471
model-1588398318,1588398319.836,0.53,0.2501,0.54,0.2425
model-1588398318,1588398319.866,0.61,0.2365,0.69,0.2314
model-1588398318,1588398319.897,0.52,0.2473,0.66,0.2348
